Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"47.70000","0.70677","2,471.60669"
"47.80000","0.70822","2,476.56519"
"47.90000","0.70967","2,482.08472"
"48.00000","0.71121","2,488.21582"
"48.10000","0.71292","2,495.01636"
"48.20000","0.71446","2,501.38379"
"48.30000","0.71582","2,506.51318"
"48.40000","0.71719","2,511.83984"
"48.50000","0.71864","2,517.00024"
"48.60000","0.72026","2,523.35645"
"48.70000","0.72188","2,530.41797"
"48.80000","0.72325","2,535.70850"
"48.90000","0.72453","2,540.59595"
"49.00000","0.72590","2,545.32349"
"49.10000","0.72743","2,550.84985"
"49.20000","0.72923","2,558.43481"
"49.30000","0.73085","2,565.45166"
"49.40000","0.73221","2,570.49805"
"49.50000","0.73358","2,575.47656"
"49.60000","0.73495","2,580.62939"
"49.70000","0.73640","2,586.07495"
"49.80000","0.73793","2,592.19092"
"49.90000","0.73939","2,597.75073"
"50.00000","0.74084","2,603.29639"
"50.10000","0.74229","2,608.66528"
"50.20000","0.74383","2,614.75317"
"50.30000","0.74553","2,620.60254"
"50.40000","0.74698","2,620.32397"
"50.50000","0.74844","2,625.82690"
"50.60000","0.74980","2,631.37012"
"50.70000","0.75117","2,636.78809"
"50.80000","0.75279","2,642.88745"
"50.90000","0.75450","2,650.28711"
"51.00000","0.75586","2,655.83691"
"51.10000","0.75715","2,660.43213"
"51.20000","0.75834","2,664.92822"
"51.30000","0.76005","2,671.34375"
"51.40000","0.76184","2,679.05713"
"51.50000","0.76346","2,685.72778"
"51.60000","0.76474","2,690.75879"
"51.70000","0.76620","2,695.82422"
"51.80000","0.76756","2,700.94214"
"51.90000","0.76901","2,706.52832"
"52.00000","0.77055","2,712.01758"
"52.10000","0.77200","2,717.28735"
"52.20000","0.77337","2,718.16650"
"52.30000","0.77490","2,723.46118"
"52.40000","0.77644","2,729.96582"
"52.50000","0.77815","2,736.52441"
"52.60000","0.77960","2,742.83887"
"52.70000","0.78097","2,748.08545"
"52.80000","0.78233","2,753.04419"
"52.90000","0.78378","2,758.36011"
"53.00000","0.78549","2,765.18018"
"53.10000","0.78711","2,772.11377"
"53.20000","0.78848","2,777.10913"
"53.30000","0.78976","2,781.57104"
"53.40000","0.79096","2,785.89819"
"53.50000","0.79266","2,792.14453"
"53.60000","0.79446","2,799.53687"
"53.70000","0.79599","2,805.97217"
