Material,Steel
Geometry,Rectangular
Width,"0.12700",mm
Thickness,"12.75080",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"67.90000","1.14972","2,379.43555"
"68.00000","1.15168","2,381.04102"
"68.10000","1.15365","2,382.80762"
"68.20000","1.15518","2,383.23999"
"68.30000","1.15672","2,383.98389"
"68.40000","1.15834","2,384.69312"
"68.50000","1.16014","2,386.09717"
"68.60000","1.16193","2,387.28809"
"68.70000","1.16347","2,388.03931"
"68.80000","1.16500","2,388.61133"
"68.90000","1.16697","2,390.12744"
"69.00000","1.16884","2,391.60376"
"69.10000","1.17038","2,392.26538"
"69.20000","1.17200","2,392.87451"
"69.30000","1.17363","2,393.54468"
"69.40000","1.17542","2,394.80591"
"69.50000","1.17721","2,396.15405"
"69.60000","1.17875","2,396.59961"
"69.70000","1.18020","2,397.03906"
"69.80000","1.18191","2,397.83521"
"69.90000","1.18370","2,399.19043"
"70.00000","1.18575","2,401.07715"
"70.10000","1.18737","2,401.85400"
"70.20000","1.18891","2,402.31592"
"70.30000","1.19053","2,402.89209"
"70.40000","1.19224","2,403.85791"
"70.50000","1.19403","2,405.06445"
"70.60000","1.19565","2,405.93408"
"70.70000","1.19719","2,406.39844"
"70.80000","1.19898","2,407.53857"
"70.90000","1.20095","2,409.10669"
"71.00000","1.20266","2,409.95947"
"71.10000","1.20419","2,410.34888"
"71.20000","1.20573","2,410.99072"
"71.30000","1.20761","2,412.05078"
"71.40000","1.20940","2,413.42090"
"71.50000","1.21102","2,413.94824"
"71.60000","1.21247","2,414.51147"
"71.70000","1.21401","2,414.83276"
"71.80000","1.21589","2,416.11670"
"71.90000","1.21802","2,418.26660"
"72.00000","1.21965","2,418.87085"
"72.10000","1.22110","2,418.99976"
"72.20000","1.22272","2,419.66772"
"72.30000","1.22434","2,420.37939"
"72.40000","1.22622","2,421.56934"
"72.50000","1.22784","2,422.38354"
"72.60000","1.22938","2,422.78125"
"72.70000","1.23117","2,423.69287"
"72.80000","1.23314","2,425.17407"
"72.90000","1.23484","2,426.03198"
"73.00000","1.23638","2,426.43262"
"73.10000","1.23800","2,427.01147"
"73.20000","1.23971","2,427.90991"
"73.30000","1.24159","2,429.32471"
"73.40000","1.24321","2,429.89087"
"73.50000","1.24475","2,430.22754"
"73.60000","1.24620","2,430.57471"
"73.70000","1.24791","2,431.47046"
"73.80000","1.25004","2,433.38550"
"73.90000","1.25183","2,434.67603"
"74.00000","1.25337","2,434.65576"
"74.10000","1.25491","2,435.17090"
