Specimen choice input : Material,Steel
Specimen properties : Geometry,Rectangular
Specimen properties : Width,"13.03000",mm
Specimen properties : Thickness,"3.57000",mm

Time,Extension,Load
(s),(mm),(N)
"64.50000","-1.56612","817.87030"
"64.60000","-1.56569","819.11182"
"64.70000","-1.56535","820.37463"
"64.80000","-1.56492","821.64490"
"64.90000","-1.56449","822.91492"
"65.00000","-1.56415","824.13696"
"65.10000","-1.56372","825.41718"
"65.20000","-1.56330","826.67767"
"65.30000","-1.56287","827.94751"
"65.40000","-1.56253","829.19794"
"65.50000","-1.56210","830.44885"
"65.60000","-1.56176","831.66541"
"65.70000","-1.56133","832.93536"
"65.80000","-1.56091","834.13361"
"65.90000","-1.56057","835.42114"
"66.00000","-1.56014","836.61365"
"66.10000","-1.55971","837.88232"
"66.20000","-1.55937","839.10333"
"66.30000","-1.55894","840.30347"
"66.40000","-1.55860","841.60925"
"66.50000","-1.55818","842.84283"
"66.60000","-1.55775","844.09180"
"66.70000","-1.55741","845.35266"
"66.80000","-1.55698","846.62756"
"66.90000","-1.55655","847.89941"
"67.00000","-1.55613","849.17249"
"67.10000","-1.55578","850.44141"
"67.20000","-1.55536","851.69629"
"67.30000","-1.55493","852.91193"
"67.40000","-1.55459","854.19507"
"67.50000","-1.55416","855.44458"
"67.60000","-1.55374","856.70575"
"67.70000","-1.55339","857.93616"
"67.80000","-1.55297","859.22205"
"67.90000","-1.55254","860.42834"
"68.00000","-1.55220","861.67719"
"68.10000","-1.55177","862.92474"
"68.20000","-1.55143","864.15100"
"68.30000","-1.55100","865.41864"
"68.40000","-1.55066","866.68713"
"68.50000","-1.55023","867.93304"
"68.60000","-1.54981","869.16235"
"68.70000","-1.54947","870.44122"
"68.80000","-1.54904","871.70227"
"68.90000","-1.54861","872.96075"
"69.00000","-1.54827","874.23206"
"69.10000","-1.54784","875.50098"
"69.20000","-1.54742","876.71588"
"69.30000","-1.54708","878.00183"
"69.40000","-1.54665","879.28052"
"69.50000","-1.54631","880.53613"
"69.60000","-1.54588","881.75311"
"69.70000","-1.54545","883.02545"
"69.80000","-1.54511","884.24744"
"69.90000","-1.54469","885.49988"
"70.00000","-1.54426","886.71851"
"70.10000","-1.54392","887.97266"
"70.20000","-1.54349","889.18872"
"70.30000","-1.54315","890.45428"
"70.40000","-1.54272","891.72662"
"70.50000","-1.54229","892.93616"
"70.60000","-1.54195","894.22961"
"70.70000","-1.54153","895.43658"
"70.80000","-1.54110","896.75250"
"70.90000","-1.54076","898.01086"
"71.00000","-1.54033","899.27753"
"71.10000","-1.53999","900.55042"
"71.20000","-1.53956","901.79144"
"71.30000","-1.53914","903.04480"
"71.40000","-1.53879","904.31793"
"71.50000","-1.53837","905.56354"
"71.60000","-1.53794","906.82556"
"71.70000","-1.53760","908.05402"
"71.80000","-1.53717","909.32111"
"71.90000","-1.53674","910.52777"
"72.00000","-1.53640","911.80884"
"72.10000","-1.53598","913.00098"
"72.20000","-1.53563","914.27966"
"72.30000","-1.53521","915.51849"
"72.40000","-1.53478","916.73822"
"72.50000","-1.53444","917.97754"
"72.60000","-1.53401","919.21344"
"72.70000","-1.53359","920.54181"
"72.80000","-1.53324","921.73505"
"72.90000","-1.53282","923.02643"
"73.00000","-1.53248","924.31647"
"73.10000","-1.53205","925.57318"
"73.20000","-1.53171","926.84741"
"73.30000","-1.53128","928.10461"
"73.40000","-1.53085","929.35498"
"73.50000","-1.53043","930.64764"
"73.60000","-1.53009","931.85785"
"73.70000","-1.52974","933.10992"
"73.80000","-1.52932","934.32703"
"73.90000","-1.52889","935.62921"
"74.00000","-1.52855","936.81775"
"74.10000","-1.52812","938.11707"
"74.20000","-1.52778","939.33197"
"74.30000","-1.52735","940.56860"
"74.40000","-1.52701","941.73926"
"74.50000","-1.52658","943.00537"
"74.60000","-1.52624","944.27435"
"74.70000","-1.52582","945.52399"
"74.80000","-1.52539","946.77002"
"74.90000","-1.52505","948.04913"
"75.00000","-1.52462","949.31091"
