Specimen choice input : Material,Steel,,,,
Specimen properties : Geometry,Rectangular,,,,
Width,13.03,mm,,,
Thickness,3.57,mm,,,
,,,,,
Time,Extension,Load,,,
(s),(mm),(N),,Stress,Strain
38.7,-1.68966,494.64,,32918.7837,-0.014024644
38.8,-1.68915,495.89,,33001.97245,-0.01402041
38.9,-1.68872,497.13,,33084.49568,-0.014016841
39,-1.68829,498.37,,33167.01891,-0.014013272
39.1,-1.68787,499.63,,33250.87316,-0.014009786
39.2,-1.68735,500.93,,33337.38946,-0.01400547
39.3,-1.68693,502.2,,33421.90922,-0.014001984
39.4,-1.68642,503.48,,33507.09449,-0.013997751
39.5,-1.68599,504.71,,33588.95221,-0.013994182
39.6,-1.68556,506,,33674.803,-0.013990612
39.7,-1.68513,507.27,,33759.32276,-0.013987043
39.8,-1.68462,508.51,,33841.84599,-0.01398281
39.9,-1.6842,509.74,,33923.70371,-0.013979324
40,-1.68368,511,,34007.55797,-0.013975008
40.1,-1.68326,512.24,,34090.0812,-0.013971522
40.2,-1.68283,513.49,,34173.26994,-0.013967953
40.3,-1.6824,514.74,,34256.45869,-0.013964384
40.4,-1.68198,516,,34340.31294,-0.013960897
40.5,-1.68146,517.23,,34422.17066,-0.013956581
40.6,-1.68104,518.48,,34505.3594,-0.013953095
40.7,-1.68052,519.72,,34587.88264,-0.013948779
40.8,-1.6801,520.97,,34671.07138,-0.013945293
40.9,-1.67967,522.24,,34755.59114,-0.013941724
41,-1.67924,523.51,,34840.1109,-0.013938155
41.1,-1.67873,524.76,,34923.29965,-0.013933922
41.2,-1.6783,526.01,,35006.48839,-0.013930352
41.3,-1.67788,527.31,,35093.00468,-0.013926866
41.4,-1.67736,528.57,,35176.85893,-0.01392255
41.5,-1.67694,529.8,,35258.71666,-0.013919064
41.6,-1.67651,531.07,,35343.23642,-0.013915495
41.7,-1.676,532.32,,35426.42516,-0.013911262
41.8,-1.67557,533.55,,35508.28288,-0.013907693
41.9,-1.67515,534.8,,35591.47163,-0.013904207
42,-1.67472,536.03,,35673.32935,-0.013900637
42.1,-1.67429,537.23,,35753.19054,-0.013897068
42.2,-1.67378,538.5,,35837.7103,-0.013892835
42.3,-1.67335,539.75,,35920.89905,-0.013889266
42.4,-1.67284,541.02,,36005.41881,-0.013885033
42.5,-1.6725,542.3,,36090.60408,-0.013882211
42.6,-1.67199,543.53,,36172.4618,-0.013877978
42.7,-1.67156,544.77,,36254.98504,-0.013874409
42.8,-1.67113,546.02,,36338.17378,-0.01387084
42.9,-1.67062,547.32,,36424.69007,-0.013866606
43,-1.67019,548.56,,36507.2133,-0.013863037
43.1,-1.66977,549.85,,36593.06409,-0.013859551
43.2,-1.66925,551.08,,36674.92181,-0.013855235
43.3,-1.66883,552.35,,36759.44157,-0.013851749
43.4,-1.6684,553.61,,36843.29582,-0.01384818
43.5,-1.66789,554.88,,36927.81559,-0.013843947
43.6,-1.66746,556.12,,37010.33882,-0.013840377
43.7,-1.66703,557.35,,37092.19654,-0.013836808
43.8,-1.66661,558.56,,37172.72324,-0.013833322
43.9,-1.66618,559.81,,37255.91199,-0.013829753
44,-1.66567,561.06,,37339.10073,-0.01382552
44.1,-1.66524,562.27,,37419.62743,-0.013821951
44.2,-1.66481,563.56,,37505.47822,-0.013818382
44.3,-1.66439,564.78,,37586.67043,-0.013814896
44.4,-1.66387,566.08,,37673.18672,-0.01381058
44.5,-1.66345,567.32,,37755.70995,-0.013807093
44.6,-1.66294,568.58,,37839.56421,-0.01380286
44.7,-1.66251,569.84,,37923.41846,-0.013799291
44.8,-1.66208,571.13,,38009.26924,-0.013795722
44.9,-1.66166,572.35,,38090.46145,-0.013792236
45,-1.66114,573.66,,38177.64326,-0.01378792
45.1,-1.66072,574.94,,38262.82853,-0.013784434
45.2,-1.66029,576.17,,38344.68625,-0.013780865
45.3,-1.65986,577.44,,38429.20601,-0.013777295
45.4,-1.65935,578.65,,38509.73272,-0.013773062
45.5,-1.65892,579.92,,38594.25248,-0.013769493
45.6,-1.6585,581.13,,38674.77918,-0.013766007
45.7,-1.65798,582.37,,38757.30241,-0.013761691
45.8,-1.65756,583.57,,38837.16361,-0.013758205
45.9,-1.65713,584.83,,38921.01786,-0.013754636
46,-1.6567,586.03,,39000.87905,-0.013751067
46.1,-1.65628,587.3,,39085.39881,-0.01374758
46.2,-1.65585,588.54,,39167.92205,-0.013744011
46.3,-1.65534,589.82,,39253.10732,-0.013739778
46.4,-1.65491,591.1,,39338.29259,-0.013736209
46.5,-1.65448,592.34,,39420.81582,-0.01373264
46.6,-1.65397,593.6,,39504.67008,-0.013728407
46.7,-1.65354,594.86,,39588.52433,-0.013724838
46.8,-1.65312,596.16,,39675.04062,-0.013721352
46.9,-1.65269,597.4,,39757.56385,-0.013717782
47,-1.65218,598.69,,39843.41464,-0.013713549
47.1,-1.65175,599.91,,39924.60685,-0.01370998
47.2,-1.65132,601.19,,40009.79212,-0.013706411
47.3,-1.6509,602.43,,40092.31535,-0.013702925
47.4,-1.65039,603.67,,40174.83859,-0.013698692
47.5,-1.64996,604.87,,40254.69978,-0.013695123
47.6,-1.64953,606.14,,40339.21954,-0.013691554
47.7,-1.6491,607.38,,40421.74278,-0.013687984
47.8,-1.64868,608.64,,40505.59703,-0.013684498
47.9,-1.64825,609.89,,40588.78577,-0.013680929
48,-1.64774,611.12,,40670.64349,-0.013676696
48.1,-1.64731,612.41,,40756.49428,-0.013673127
48.2,-1.64688,613.66,,40839.68302,-0.013669558
48.3,-1.64646,614.89,,40921.54074,-0.013666072
48.4,-1.64595,616.2,,41008.72254,-0.013661839
