Specimen choice input : Material,Steel,
Specimen properties : Geometry,Rectangular,
Width,7.091,mm
Thickness,7.091,mm
,,
Time,Extension,Load
(s),(mm),(N)
82.1,0.32,2216.52
82.2,0.32,2219.16
82.3,0.32,2221.68
82.4,0.32,2224.68
82.5,0.32,2227.23
82.6,0.32,2229.85
82.7,0.32,2232.74
82.8,0.32,2235.24
82.9,0.32,2237.76
83,0.32,2240.66
83.1,0.32,2243.7
83.2,0.32,2245.98
83.3,0.32,2248.62
83.4,0.32,2251.42
83.5,0.32,2254.09
83.6,0.32,2256.83
83.7,0.32,2259.46
83.8,0.32,2262.02
83.9,0.32,2264.99
84,0.32,2267.87
84.1,0.32,2270.16
84.2,0.32,2272.76
84.3,0.32,2275.52
84.4,0.32,2278.27
84.5,0.33,2280.99
84.6,0.33,2283.86
84.7,0.33,2286.57
84.8,0.33,2288.99
84.9,0.33,2291.63
85,0.33,2294.5
85.1,0.33,2297.03
85.2,0.33,2299.82
85.3,0.33,2302.39
85.4,0.33,2305.17
85.5,0.33,2307.69
85.6,0.33,2310.41
85.7,0.33,2313.37
85.8,0.33,2316.05
85.9,0.33,2318.59
86,0.33,2321.09
86.1,0.33,2323.97
86.2,0.33,2327.01
86.3,0.33,2329.29
86.4,0.33,2332.09
86.5,0.33,2334.62
86.6,0.33,2337.6
86.7,0.33,2340
86.8,0.33,2342.83
86.9,0.33,2345.88
87,0.33,2348.24
87.1,0.33,2350.83
87.2,0.33,2353.52
87.3,0.33,2356.29
87.4,0.33,2359.02
87.5,0.33,2361.68
87.6,0.33,2364.17
87.7,0.33,2366.96
87.8,0.33,2369.87
87.9,0.33,2372.58
88,0.33,2374.78
88.1,0.33,2377.6
88.2,0.34,2380.28
88.3,0.34,2383.03
88.4,0.34,2385.99
88.5,0.34,2388.73
88.6,0.34,2391.09
88.7,0.34,2393.65
88.8,0.34,2396.58
88.9,0.34,2399.55
89,0.34,2401.92
89.1,0.34,2404.36
89.2,0.34,2407.33
89.3,0.34,2410.3
89.4,0.34,2412.74
89.5,0.34,2415.16
89.6,0.34,2418.12
89.7,0.34,2420.38
89.8,0.34,2423.27
89.9,0.34,2426.19
90,0.34,2428.59
90.1,0.34,2431.57
90.2,0.34,2434.6
90.3,0.34,2437.11
90.4,0.34,2439.46
90.5,0.34,2442.5
90.6,0.34,2444.78
90.7,0.34,2447.57
90.8,0.34,2450.29
90.9,0.34,2453.17
91,0.34,2455.68
91.1,0.34,2458.17
91.2,0.34,2461.02
91.3,0.34,2464.09
91.4,0.34,2466.44
91.5,0.34,2469.39
91.6,0.34,2471.93
91.7,0.34,2474.38
91.8,0.34,2477.07
91.9,0.35,2480.22
92,0.35,2482.8
92.1,0.35,2485.25
92.2,0.35,2487.78
92.3,0.35,2490.86
92.4,0.35,2493.56
92.5,0.35,2496.11
92.6,0.35,2498.69
92.7,0.35,2501.72
92.8,0.35,2504.03
92.9,0.35,2506.77
93,0.35,2509.52
93.1,0.35,2512.11
93.2,0.35,2514.85
93.3,0.35,2517.86
93.4,0.35,2520.3
93.5,0.35,2522.71
93.6,0.35,2525.48
93.7,0.35,2528.09
93.8,0.35,2531.07
93.9,0.35,2533.46
94,0.35,2536.29
94.1,0.35,2539.38
94.2,0.35,2541.7
94.3,0.35,2544.67
94.4,0.35,2547.55
94.5,0.35,2550.06
94.6,0.35,2552.64
94.7,0.35,2555.4
94.8,0.35,2558.25
94.9,0.35,2560.51
95,0.35,2563.48
95.1,0.35,2566.15
95.2,0.35,2568.64
95.3,0.35,2571.44
95.4,0.35,2574.03
95.5,0.35,2576.72
95.6,0.36,2579.53
95.7,0.36,2581.86
95.8,0.36,2584.76
95.9,0.36,2587.41
96,0.36,2590.27
96.1,0.36,2592.91
96.2,0.36,2595.57
96.3,0.36,2598.39
96.4,0.36,2600.89
96.5,0.36,2603.61
96.6,0.36,2606.16
96.7,0.36,2608.92
96.8,0.36,2611.72
96.9,0.36,2614.45
97,0.36,2617.14
97.1,0.36,2619.82
97.2,0.36,2622.22
97.3,0.36,2625.13
97.4,0.36,2627.75
97.5,0.36,2630.53
97.6,0.36,2633.34
97.7,0.36,2635.8
97.8,0.36,2638.82
97.9,0.36,2641.41
98,0.36,2643.82
98.1,0.36,2646.41
98.2,0.36,2649.03
98.3,0.36,2651.75
98.4,0.36,2654.39
98.5,0.36,2657.27
98.6,0.36,2660.31
98.7,0.36,2662.79
98.8,0.36,2665.58
98.9,0.36,2668.02
99,0.36,2670.88
99.1,0.36,2673.1
99.2,0.36,2676.08
99.3,0.37,2678.71
99.4,0.37,2681.55
99.5,0.37,2684.17
99.6,0.37,2686.86
99.7,0.37,2689.37
99.8,0.37,2692.14
99.9,0.37,2695.16
100,0.37,2697.58
100.1,0.37,2700.5
100.2,0.37,2703.38
100.3,0.37,2705.63
100.4,0.37,2708.55
100.5,0.37,2711.43
100.6,0.37,2714.11
100.7,0.37,2716.23
100.8,0.37,2718.99
100.9,0.37,2721.84
101,0.37,2724.65
101.1,0.37,2726.99
101.2,0.37,2729.99
101.3,0.37,2732.6
101.4,0.37,2735.42
101.5,0.37,2738.09
101.6,0.37,2740.89
101.7,0.37,2743.12
101.8,0.37,2745.87
101.9,0.37,2748.74
102,0.37,2751.38
102.1,0.37,2754.31
102.2,0.37,2756.62
102.3,0.37,2759.58
102.4,0.37,2762.21
102.5,0.37,2765.16
102.6,0.37,2767.32
102.7,0.37,2770.37
102.8,0.37,2773.13
102.9,0.37,2775.78
103,0.38,2778.21
103.1,0.38,2781.03
103.2,0.38,2783.64
103.3,0.38,2786.2
103.4,0.38,2788.98
103.5,0.38,2791.8
103.6,0.38,2794.58
103.7,0.38,2797.17
103.8,0.38,2800.11
103.9,0.38,2802.36
104,0.38,2805.18
104.1,0.38,2807.87
104.2,0.38,2810.5
104.3,0.38,2813.58
104.4,0.38,2816.17
104.5,0.38,2819.11
104.6,0.38,2821.06
104.7,0.38,2824.34
104.8,0.38,2826.59
104.9,0.38,2829.47
105,0.38,2832.05
105.1,0.38,2835.19
105.2,0.38,2837.81
105.3,0.38,2840.15
105.4,0.38,2843.09
105.5,0.38,2845.81
105.6,0.38,2848.42
105.7,0.38,2851.36
105.8,0.38,2853.96
105.9,0.38,2856.01
106,0.38,2859.12
106.1,0.38,2862
106.2,0.38,2864.61
106.3,0.38,2866.82
106.4,0.38,2869.95
106.5,0.38,2872.37
106.6,0.38,2875.25
106.7,0.39,2877.71
106.8,0.39,2880.44
106.9,0.39,2883.44
107,0.39,2885.76
107.1,0.39,2888.87
107.2,0.39,2891.22
107.3,0.39,2894.02
107.4,0.39,2896.4
107.5,0.39,2899.32
107.6,0.39,2901.86
107.7,0.39,2904.79
107.8,0.39,2907.38
107.9,0.39,2910.17
108,0.39,2912.95
108.1,0.39,2915.58
108.2,0.39,2918.23
108.3,0.39,2920.74
108.4,0.39,2923.63
108.5,0.39,2926.53
108.6,0.39,2928.87
